Value;tweet
Negatif;Yuk kenali setiap warna yang ada dari PeduliLindungi #PentingnyaVaksinasiKuatanImun #IkhtiarAtasiPandemi  https://t.co/JenIvCYafK
Negatif;Yth @PLindungi @KemenkesRI status saya di aplikasi peduli lindungi tiba2 berubah menjadi �??hitam�?� padahal saya TIDAK PERNAH melakukan test PCR atau ANTIGEN dengan hasil positif dan saya juga TIDAK ADA KONTAK ERAT dengan pasein covid
Negatif;Yang terakhir, EHac di app peduli lindungi ini jelek bgt. App ini padahal penting tapi ga didevelop bener2 sama programmernya. Kecewa titik.
Negatif;yaallah rima udah pede banget jalan, udah scan pedulilindungi padahal belum pake masker 😭
Negatif;ya udahlah... udah bebaslah kemana-mana. kagak ada sekat-sekatan, kagak ada lagi pcr-pcr an, kagak ada lagi aplikasi peduli lindungi segala....  Umumkan sajalah Covid19 sudah tak lagi jadi pandemi.
Negatif;Woyyy @PLindungi @kemkominfo @Polripresisi @CCICPolri nih DIBACA!
Negatif;WKKWWKKW. App di singapur aja (semacam pedulilindungi) skrg cuma jdi formalitas dan diakalin pake screenshot di sana 🤣🤣. Apalagi di sini
Negatif;Wis tak hapus wae ben ayem, ra arep check-in meneh @PLindungi
Negatif;Wes paksin ping pindo , rung iso kedaftar nng peduli lindungi, mergo nomere tak nge 2 orang, piee Iki!!!😭☺️☺️
Negatif;Websitenya peduli lindungi kenapa gak bisa log-in nih??!! @KemenkesRI @PLindungi
Negatif;waktu itu gue pernah ke mol, mau ngescan aplikasi PeduliLindungi malah gabisa njrit malu bgt mana di depan orang 😢
Negatif;w abis balik jkt blm pake peduli lindungi samsek yg artinya kehidupan hanyalah RS dan rumah🥲😂🥲😂
Negatif;Vaksinnya atau sertifikat nya? Sedangkan sy kasih kartu vaksinnya security gamau trima. Gue bilang blm dpt sertifikat nya dia gamau tau, itu anda gak boleh masuk Mall katanya. Terus sy harus ngadu kemana dong pak/bu @PLindungi solusinya apaaaa?
Negatif;Vaksin pertama tidak terdaftar di peduli lindungi Vaksin kedua lompat rono lompat rene, ealah 😑
Negatif;Unsr! Gaes mau tanya klo ikut tes suliet kan pke sertif vaksin, klo sy sdh vaksin tp sertif dk pck dibuka krn akun PeduliLindungi eror. Ad saran dk yo?
Negatif;Uninstall PeduliLindungi  Install PeduliSetan
Negatif;uninstall pedulilindungi
Negatif;Udh vaksin 2 kali tapi sertifikat yg kedua belum keluar, tolonglahhh kerjasamanya @PLindungi @pedulilindungi
Negatif;Udh kirim email ke @PLindungi soal sertifikat vaksin kedua yg belum muncul2 padahal udh vaksin dari tanggal 18 agustus. Pagi ini dpt sms lgi malahan sertifikat vaksin pertama. Kan yg gk ada duh sertifikat keduaaa, knpa jdi pertama lgi yg di kirimm????
Negatif;Udh gitu sekarang kaga usah tuh scan peduli lindungi lg yhaaa
Negatif;Udah pada install aplikasi PeduliLindungi kan? Kalau belum, buruan install gih.  Soalnya kalau mau masuk tempat wisata wajib menggunakan aplikasi ini  #wisatajagaprokes
Negatif;Udah nge install peduli lindungi,tapi ko tetep aja ya ngerasa ga di peduliin
Negatif;Udah klaim sendiri sertifikat nya (padahal harusnya auto ke input ga sih) tapi kok status di pedulilindungi masih merah? Ada sertifikat tapi status merah, lucu😭  @PLindungi  https://t.co/1MYVvns2vs
Negatif;Udah faksin pertama astra 2 bulan yg lalu smpe skrg aku udh chek di aplikasi @PLindungi kok blum ada sertifikat vaksin itu kenapa ya kira kira
Negatif;Udah 2hr ya ini masa iya blm bisa, sistem loh ini! Kecerobohan input NIK Vaksin, sangat merugikan pemilik NIK! @PLindungi
Negatif;"Uda lari-lari trs pas mau naik, pintu keretanya ketutup gara2 scan apk PeduliLindungi dulu is another ""ANJIIIIING"" 🙂"
Negatif;trus ternyata dah telat anjir😭 pa satpam minta scan pedulilindungi pula kan memori aing ga cukup anjrit 👮‍♂️: sok atu download dulu 👧: gabisa pa memorinya abis😭 👮‍♂️: ....
Negatif;"Trus papa aku malah diminta vaksin kedua padahal vaksinnya udah lengkap, pas cek peduli lindungi bener aja sertifitkat vaksinnya cuma vaksin dosis 1 ( tanggal vaksin pertama papa aku malah tgl dimana dia vaksin kedua):""((("
Negatif;Trus aku coba buka app peduli lindungi punyaku, dpt notif lg suruh apdet… omg apaseeee prasaan baru kapan hari aku apdet, skrg dah disuruh apdet lagi… laposee apdet apdet terus aplikasine
Negatif;Tp ini mslhny apk peduli lindungi gw kok gada data vaksin w sic
Negatif;Tombol check out tanpa scan QR Code-nya sudah ngga tersedia, @PLindungi ?  https://t.co/JtjBSqDZO2
Negatif;Tolonglah untuk Petugas Vaksin kalau input data yang benar &amp
Negatif;Tolongin ini kenapa, udah hubungi email pedulilindungi@kominfo.go.id ga ada balesan, hubungi sertifikat@pedulilindungi.id malah disuruh hubungi email yang pedulilindungi@kominfo.go.id. Tolong bantuin, aku susah masuk ke tempat umum dan transportasi umum???� @PLindungi @kemkominfo  https://t.co/Qe3AXEciFU
Negatif;Tolong segera rubah regulasi pengambilan nomer antrian RSUD pelabuhan ratu ..karena sudah mengabaikan protokol kesehatan #dinkes #pelabuhanratu #jawabarat #pedulilindungi #ProkesKetat #gubernurjawabarat  https://t.co/sZQnLqqqs4
Negatif;Tolong dong ini gimana caranya deh, gmail gw kaga bisa di pake sama sekali, gw mau login di pedulilindungi @gmail
Negatif;Tiwas download aplikasi peduli lindungi Malah ora enek seng peduli blas,😭
Negatif;Terus gunanya vaksin apa dong kalo pd masih takut tertular? Apa kalian ga mau kembali hidup normal, layaknya sblm covid yg ga harus selalu pake masker kemana mana, ga ada persyaratan mcm pedulilindungi, dan bisa bikin kerumunan?
Negatif;Ternyata tidak mudah menjadi warga negara yang baik. Maksud hati menuruti aturan pemerintah, apa daya terbentur mekanisme yang entah lah.... @PLindungi @pedulilindungi  https://t.co/9uQZFErkYU
Negatif;Ternyata data gue belum diinput. Terus mereka ngapain ngedata gue pas ditempat vaksin? Kalo trnyata gak diinput? Gue minta kontak untuk pengaduan tp mereka malah bilang 100% menerima dr faskes. @PLindungi  https://t.co/cr1yLTtQ6B
Negatif;Temen yang diajak nonton malah vaksinnya gak ke deteksi di PeduliLindungi, mending nontonnya besok saja lah 🙄😐
Negatif;Telat 3 menit gara2 scan qr pedulilindungi error terus
Negatif;Tanyarl, hi! Ada yg sertifikal v4ks1n nya salah nama ga? Aku mau ajuin v4ks1n ke 2 gagal mulu di peduli lindungi karna nama, masa harus ditypoin? 😭 harus gimana ya? Pls help me guys 😭🙏🏻  https://t.co/RLYcAAS7ZS
Negatif;Tanyarl kan aku mau vaksieen ke-2 tp gada kertas vaksien nya, terus aku coba di peduli lindungi tapi nik nya gak valid. Itu kira2 kenapa yaaa???  https://t.co/B5q9VID7f0
Negatif;Tai lah udah buru buru ke rumah sakit end up nya di prank sama @pedulilindungi @KemenkesRI astra zeneca 3 bulan blok.  https://t.co/QBK8WDtowm
Negatif;tadi siang mau bukak peduli lindungi malah bukak kita bisa , tolol bgt asli
Negatif;Syg! Paksin dosis pertama dan kedua tuh harus ditempat yang sama apa bisa di beda tmpt? Soalnya aku dosis 1nya di cirebon,trs skrg ngerantau ke garut, untk dosis 2 di pedulilindungi hrsnya di crbn,tp kalo pulang hanya utk paksin kan gmn ya capek dijalan😭 wahyu
Negatif;syg! kenapa status vaksinasi aku merah ya? padahal udah vaksin dan ada sertifnya di peduli lindungi  https://t.co/0Qqt1nB3dG
Negatif;Susah amat ini cuma daftar QR Code @PLindungi . Coba daftar via email, dibales 1 bulan kemudian dengan reply link untuk regist. Oke.. Giliran dicoba link tsb, setelah diisi dapat info bhw akan dapat reply konfirmasi 1 x 24 jam, ini udah mau 3 hari belum ada balesan @ditpromkes
Negatif;Suka bingung sama aturan dari @PT_Transjakarta sebenernya wajib gak sich scan barcode di peduli lindungi???berapa kali w nemu penumpang di halte transjakarta halimun gak scanbarcode di bolehin masuk sama petugasnya....cobalah klo bikin aruran dilaksanakan
