;Value;tweet;cleaning;tweet_tokens;tweet_stopwords;normalization
0;Negatif;yuk kenali setiap warna yang ada dari pedulilindungi #pentingnyavaksinasikuatanimun #ikhtiaratasipandemi  https://t.co/jenivcyafk;yuk kenali setiap warna yang ada dari pedulilindungi;['yuk', 'kenali', 'setiap', 'warna', 'yang', 'ada', 'dari', 'pedulilindungi'];['kenali', 'warna', 'pedulilindungi'];kenali warna pedulilindungi
1;Negatif;yth @plindungi @kemenkesri status saya di aplikasi peduli lindungi tiba2 berubah menjadi ??hitam? padahal saya tidak pernah melakukan test pcr atau antigen dengan hasil positif dan saya juga tidak ada kontak erat dengan pasein covid;yth status saya di aplikasi peduli lindungi tiba berubah menjadi hitam padahal saya tidak pernah melakukan test pcr atau antigen dengan hasil positif dan saya juga tidak ada kontak erat dengan pasein covid;['yth', 'status', 'saya', 'di', 'aplikasi', 'peduli', 'lindungi', 'tiba', 'berubah', 'menjadi', 'hitam', 'padahal', 'saya', 'tidak', 'pernah', 'melakukan', 'test', 'pcr', 'atau', 'antigen', 'dengan', 'hasil', 'positif', 'dan', 'saya', 'juga', 'tidak', 'ada', 'kontak', 'erat', 'dengan', 'pasein', 'covid'];['status', 'aplikasi', 'peduli', 'lindungi', 'berubah', 'hitam', 'test', 'pcr', 'antigen', 'hasil', 'positif', 'kontak', 'erat', 'pasein', 'covid'];status aplikasi peduli lindungi berubah hitam test pcr antigen hasil positif kontak erat pasein covid
2;Negatif;yang terakhir, ehac di app peduli lindungi ini jelek bgt. app ini padahal penting tapi ga didevelop bener2 sama programmernya. kecewa titik.;yang terakhir ehac di app peduli lindungi ini jelek bgt app ini padahal penting tapi ga didevelop bener sama programmernya kecewa titik;['yang', 'terakhir', 'ehac', 'di', 'app', 'peduli', 'lindungi', 'ini', 'jelek', 'bgt', 'app', 'ini', 'padahal', 'penting', 'tapi', 'ga', 'didevelop', 'bener', 'sama', 'programmernya', 'kecewa', 'titik'];['ehac', 'app', 'peduli', 'lindungi', 'jelek', 'app', 'didevelop', 'bener', 'programmernya', 'kecewa', 'titik'];ehac app peduli lindungi jelek app didevelop benar programmernya kecewa titik
3;Negatif;yaallah rima udah pede banget jalan, udah scan pedulilindungi padahal belum pake masker ð­;yaallah rima udah pede banget jalan udah scan pedulilindungi padahal belum pake masker;['yaallah', 'rima', 'udah', 'pede', 'banget', 'jalan', 'udah', 'scan', 'pedulilindungi', 'padahal', 'belum', 'pake', 'masker'];['yaallah', 'rima', 'pede', 'banget', 'jalan', 'scan', 'pedulilindungi', 'pake', 'masker'];yaallah rima percaya diri banget jalan scan pedulilindungi pakai masker
4;Negatif;ya udahlah... udah bebaslah kemana-mana. kagak ada sekat-sekatan, kagak ada lagi pcr-pcr an, kagak ada lagi aplikasi peduli lindungi segala....  umumkan sajalah covid19 sudah tak lagi jadi pandemi.;ya udahlah udah bebaslah kemanamana kagak ada sekatsekatan kagak ada lagi pcrpcr an kagak ada lagi aplikasi peduli lindungi segala umumkan sajalah covid sudah tak lagi jadi pandemi;['ya', 'udahlah', 'udah', 'bebaslah', 'kemanamana', 'kagak', 'ada', 'sekatsekatan', 'kagak', 'ada', 'lagi', 'pcrpcr', 'an', 'kagak', 'ada', 'lagi', 'aplikasi', 'peduli', 'lindungi', 'segala', 'umumkan', 'sajalah', 'covid', 'sudah', 'tak', 'lagi', 'jadi', 'pandemi'];['bebaslah', 'kemanamana', 'sekatsekatan', 'pcrpcr', 'aplikasi', 'peduli', 'lindungi', 'umumkan', 'covid', 'pandemi'];bebaslah kemanamana sekatsekatan pcrpcr aplikasi peduli lindungi umumkan covid pandemi
5;Negatif;woyyy @plindungi @kemkominfo @polripresisi @ccicpolri nih dibaca!;woyyy nih dibaca;['woyyy', 'nih', 'dibaca'];['dibaca'];dibaca
6;Negatif;wkkwwkkw. app di singapur aja (semacam pedulilindungi) skrg cuma jdi formalitas dan diakalin pake screenshot di sana ð¤£ð¤£. apalagi di sini;wkkwwkkw app di singapur aja semacam pedulilindungi skrg cuma jdi formalitas dan diakalin pake screenshot di sana apalagi di sini;['wkkwwkkw', 'app', 'di', 'singapur', 'aja', 'semacam', 'pedulilindungi', 'skrg', 'cuma', 'jdi', 'formalitas', 'dan', 'diakalin', 'pake', 'screenshot', 'di', 'sana', 'apalagi', 'di', 'sini'];['wkkwwkkw', 'app', 'singapur', 'pedulilindungi', 'formalitas', 'diakalin', 'pake', 'screenshot'];wkkwwkkw app singapur pedulilindungi formalitas diakalin pakai screenshot
7;Negatif;wis tak hapus wae ben ayem, ra arep check-in meneh @plindungi;wis tak hapus wae ben ayem ra arep checkin meneh;['wis', 'tak', 'hapus', 'wae', 'ben', 'ayem', 'ra', 'arep', 'checkin', 'meneh'];['hapus', 'wae', 'ayem', 'arep', 'checkin', 'meneh'];hapus wae ayem arep checkin meneh
8;Negatif;wes paksin ping pindo , rung iso kedaftar nng peduli lindungi, mergo nomere tak nge 2 orang, piee iki!!!ð­âºï¸âºï¸;wes paksin ping pindo rung iso kedaftar nng peduli lindungi mergo nomere tak nge orang piee iki;['wes', 'paksin', 'ping', 'pindo', 'rung', 'iso', 'kedaftar', 'nng', 'peduli', 'lindungi', 'mergo', 'nomere', 'tak', 'nge', 'orang', 'piee', 'iki'];['wes', 'paksin', 'pindo', 'rung', 'iso', 'kedaftar', 'nng', 'peduli', 'lindungi', 'mergo', 'nomere'];wes paksin pindo rung iso kedaftar nng peduli lindungi mergo nomere
9;Negatif;websitenya peduli lindungi kenapa gak bisa log-in nih??!! @kemenkesri @plindungi;websitenya peduli lindungi kenapa gak bisa login nih;['websitenya', 'peduli', 'lindungi', 'kenapa', 'gak', 'bisa', 'login', 'nih'];['websitenya', 'peduli', 'lindungi', 'login'];websitenya peduli lindungi login
10;Negatif;waktu itu gue pernah ke mol, mau ngescan aplikasi pedulilindungi malah gabisa njrit malu bgt mana di depan orang ð¢;waktu itu gue pernah ke mol mau ngescan aplikasi pedulilindungi malah gabisa njrit malu bgt mana di depan orang;['waktu', 'itu', 'gue', 'pernah', 'ke', 'mol', 'mau', 'ngescan', 'aplikasi', 'pedulilindungi', 'malah', 'gabisa', 'njrit', 'malu', 'bgt', 'mana', 'di', 'depan', 'orang'];['gue', 'mol', 'ngescan', 'aplikasi', 'pedulilindungi', 'gabisa', 'njrit', 'malu'];gue mol ngescan aplikasi pedulilindungi enggak bisa njrit malu
11;Negatif;w abis balik jkt blm pake peduli lindungi samsek yg artinya kehidupan hanyalah rs dan rumahð¥²ðð¥²ð; abis balik jkt blm pake peduli lindungi samsek yg artinya kehidupan hanyalah rs dan rumah;['abis', 'balik', 'jkt', 'blm', 'pake', 'peduli', 'lindungi', 'samsek', 'yg', 'artinya', 'kehidupan', 'hanyalah', 'rs', 'dan', 'rumah'];['abis', 'jkt', 'pake', 'peduli', 'lindungi', 'samsek', 'kehidupan', 'rs', 'rumah'];habis jakarta pakai peduli lindungi samsek kehidupan rs rumah
12;Negatif;vaksinnya atau sertifikat nya? sedangkan sy kasih kartu vaksinnya security gamau trima. gue bilang blm dpt sertifikat nya dia gamau tau, itu anda gak boleh masuk mall katanya. terus sy harus ngadu kemana dong pak/bu @plindungi solusinya apaaaa?;vaksinnya atau sertifikat nya sedangkan sy kasih kartu vaksinnya security gamau trima gue bilang blm dpt sertifikat nya dia gamau tau itu anda gak boleh masuk mall katanya terus sy harus ngadu kemana dong pakbu solusinya apaaaa;['vaksinnya', 'atau', 'sertifikat', 'nya', 'sedangkan', 'sy', 'kasih', 'kartu', 'vaksinnya', 'security', 'gamau', 'trima', 'gue', 'bilang', 'blm', 'dpt', 'sertifikat', 'nya', 'dia', 'gamau', 'tau', 'itu', 'anda', 'gak', 'boleh', 'masuk', 'mall', 'katanya', 'terus', 'sy', 'harus', 'ngadu', 'kemana', 'dong', 'pakbu', 'solusinya', 'apaaaa'];['vaksinnya', 'sertifikat', 'kasih', 'kartu', 'vaksinnya', 'security', 'gamau', 'trima', 'gue', 'sertifikat', 'gamau', 'mall', 'ngadu', 'kemana', 'pakbu', 'solusinya', 'apaaaa'];vaksinnya sertifikat kasih kartu vaksinnya security enggak mau terima gue sertifikat enggak mau mall mengadu kemana pakbu solusinya apaaaa
13;Negatif;vaksin pertama tidak terdaftar di peduli lindungi vaksin kedua lompat rono lompat rene, ealah ð;vaksin pertama tidak terdaftar di peduli lindungi vaksin kedua lompat rono lompat rene ealah;['vaksin', 'pertama', 'tidak', 'terdaftar', 'di', 'peduli', 'lindungi', 'vaksin', 'kedua', 'lompat', 'rono', 'lompat', 'rene', 'ealah'];['vaksin', 'terdaftar', 'peduli', 'lindungi', 'vaksin', 'lompat', 'rono', 'lompat', 'rene'];vaksin terdaftar peduli lindungi vaksin lompat rono lompat rene
14;Negatif;unsr! gaes mau tanya klo ikut tes suliet kan pke sertif vaksin, klo sy sdh vaksin tp sertif dk pck dibuka krn akun pedulilindungi eror. ad saran dk yo?;unsr gaes mau tanya klo ikut tes suliet kan pke sertif vaksin klo sy sdh vaksin tp sertif dk pck dibuka krn akun pedulilindungi eror ad saran dk yo;['unsr', 'gaes', 'mau', 'tanya', 'klo', 'ikut', 'tes', 'suliet', 'kan', 'pke', 'sertif', 'vaksin', 'klo', 'sy', 'sdh', 'vaksin', 'tp', 'sertif', 'dk', 'pck', 'dibuka', 'krn', 'akun', 'pedulilindungi', 'eror', 'ad', 'saran', 'dk', 'yo'];['unsr', 'tes', 'suliet', 'pke', 'sertif', 'vaksin', 'vaksin', 'sertif', 'dk', 'pck', 'dibuka', 'akun', 'pedulilindungi', 'eror', 'ad', 'saran', 'dk'];unsr tes suliet pakai sertif vaksin vaksin sertif dk pck dibuka akun pedulilindungi eror ada saran dk
