;Value;tweet;cleaning
0;Negatif;Yuk kenali setiap warna yang ada dari PeduliLindungi #PentingnyaVaksinasiKuatanImun #IkhtiarAtasiPandemi  https://t.co/JenIvCYafK;yuk kenali setiap warna yang ada dari pedulilindungi
1;Negatif;Yth @PLindungi @KemenkesRI status saya di aplikasi peduli lindungi tiba2 berubah menjadi ??hitam? padahal saya TIDAK PERNAH melakukan test PCR atau ANTIGEN dengan hasil positif dan saya juga TIDAK ADA KONTAK ERAT dengan pasein covid;yth status saya di aplikasi peduli lindungi tiba berubah menjadi hitam padahal saya tidak pernah melakukan test pcr atau antigen dengan hasil positif dan saya juga tidak ada kontak erat dengan pasein covid
2;Negatif;Yang terakhir, EHac di app peduli lindungi ini jelek bgt. App ini padahal penting tapi ga didevelop bener2 sama programmernya. Kecewa titik.;yang terakhir ehac di app peduli lindungi ini jelek bgt app ini padahal penting tapi ga didevelop bener sama programmernya kecewa titik
3;Negatif;yaallah rima udah pede banget jalan, udah scan pedulilindungi padahal belum pake masker ð­;yaallah rima udah pede banget jalan udah scan pedulilindungi padahal belum pake masker
4;Negatif;ya udahlah... udah bebaslah kemana-mana. kagak ada sekat-sekatan, kagak ada lagi pcr-pcr an, kagak ada lagi aplikasi peduli lindungi segala....  Umumkan sajalah Covid19 sudah tak lagi jadi pandemi.;ya udahlah udah bebaslah kemanamana kagak ada sekatsekatan kagak ada lagi pcrpcr an kagak ada lagi aplikasi peduli lindungi segala umumkan sajalah covid sudah tak lagi jadi pandemi
5;Negatif;Woyyy @PLindungi @kemkominfo @Polripresisi @CCICPolri nih DIBACA!;woyyy nih dibaca
6;Negatif;WKKWWKKW. App di singapur aja (semacam pedulilindungi) skrg cuma jdi formalitas dan diakalin pake screenshot di sana ð¤£ð¤£. Apalagi di sini;wkkwwkkw app di singapur aja semacam pedulilindungi skrg cuma jdi formalitas dan diakalin pake screenshot di sana apalagi di sini
7;Negatif;Wis tak hapus wae ben ayem, ra arep check-in meneh @PLindungi;wis tak hapus wae ben ayem ra arep checkin meneh
8;Negatif;Wes paksin ping pindo , rung iso kedaftar nng peduli lindungi, mergo nomere tak nge 2 orang, piee Iki!!!ð­âºï¸âºï¸;wes paksin ping pindo rung iso kedaftar nng peduli lindungi mergo nomere tak nge orang piee iki
9;Negatif;Websitenya peduli lindungi kenapa gak bisa log-in nih??!! @KemenkesRI @PLindungi;websitenya peduli lindungi kenapa gak bisa login nih
10;Negatif;waktu itu gue pernah ke mol, mau ngescan aplikasi PeduliLindungi malah gabisa njrit malu bgt mana di depan orang ð¢;waktu itu gue pernah ke mol mau ngescan aplikasi pedulilindungi malah gabisa njrit malu bgt mana di depan orang
11;Negatif;w abis balik jkt blm pake peduli lindungi samsek yg artinya kehidupan hanyalah RS dan rumahð¥²ðð¥²ð; abis balik jkt blm pake peduli lindungi samsek yg artinya kehidupan hanyalah rs dan rumah
12;Negatif;Vaksinnya atau sertifikat nya? Sedangkan sy kasih kartu vaksinnya security gamau trima. Gue bilang blm dpt sertifikat nya dia gamau tau, itu anda gak boleh masuk Mall katanya. Terus sy harus ngadu kemana dong pak/bu @PLindungi solusinya apaaaa?;vaksinnya atau sertifikat nya sedangkan sy kasih kartu vaksinnya security gamau trima gue bilang blm dpt sertifikat nya dia gamau tau itu anda gak boleh masuk mall katanya terus sy harus ngadu kemana dong pakbu solusinya apaaaa
13;Negatif;Vaksin pertama tidak terdaftar di peduli lindungi Vaksin kedua lompat rono lompat rene, ealah ð;vaksin pertama tidak terdaftar di peduli lindungi vaksin kedua lompat rono lompat rene ealah
14;Negatif;Unsr! Gaes mau tanya klo ikut tes suliet kan pke sertif vaksin, klo sy sdh vaksin tp sertif dk pck dibuka krn akun PeduliLindungi eror. Ad saran dk yo?;unsr gaes mau tanya klo ikut tes suliet kan pke sertif vaksin klo sy sdh vaksin tp sertif dk pck dibuka krn akun pedulilindungi eror ad saran dk yo
15;Negatif;Uninstall PeduliLindungi  Install PeduliSetan;uninstall pedulilindungi install pedulisetan
16;Negatif;uninstall pedulilindungi;uninstall pedulilindungi
17;Negatif;Udh vaksin 2 kali tapi sertifikat yg kedua belum keluar, tolonglahhh kerjasamanya @PLindungi @pedulilindungi;udh vaksin kali tapi sertifikat yg kedua belum keluar tolonglahhh kerjasamanya
18;Negatif;Udh kirim email ke @PLindungi soal sertifikat vaksin kedua yg belum muncul2 padahal udh vaksin dari tanggal 18 agustus. Pagi ini dpt sms lgi malahan sertifikat vaksin pertama. Kan yg gk ada duh sertifikat keduaaa, knpa jdi pertama lgi yg di kirimm????;udh kirim email ke soal sertifikat vaksin kedua yg belum muncul padahal udh vaksin dari tanggal agustus pagi ini dpt sms lgi malahan sertifikat vaksin pertama kan yg gk ada duh sertifikat keduaaa knpa jdi pertama lgi yg di kirimm
19;Negatif;Udh gitu sekarang kaga usah tuh scan peduli lindungi lg yhaaa;udh gitu sekarang kaga usah tuh scan peduli lindungi lg yhaaa
20;Negatif;Udah pada install aplikasi PeduliLindungi kan? Kalau belum, buruan install gih.  Soalnya kalau mau masuk tempat wisata wajib menggunakan aplikasi ini  #wisatajagaprokes;udah pada install aplikasi pedulilindungi kan kalau belum buruan install gih soalnya kalau mau masuk tempat wisata wajib menggunakan aplikasi ini
21;Negatif;Udah nge install peduli lindungi,tapi ko tetep aja ya ngerasa ga di peduliin;udah nge install peduli lindungitapi ko tetep aja ya ngerasa ga di peduliin
22;Negatif;Udah klaim sendiri sertifikat nya (padahal harusnya auto ke input ga sih) tapi kok status di pedulilindungi masih merah? Ada sertifikat tapi status merah, lucuð­  @PLindungi  https://t.co/1MYVvns2vs;udah klaim sendiri sertifikat nya padahal harusnya auto ke input ga sih tapi kok status di pedulilindungi masih merah ada sertifikat tapi status merah lucu
23;Negatif;Udah faksin pertama astra 2 bulan yg lalu smpe skrg aku udh chek di aplikasi @PLindungi kok blum ada sertifikat vaksin itu kenapa ya kira kira;udah faksin pertama astra bulan yg lalu smpe skrg aku udh chek di aplikasi kok blum ada sertifikat vaksin itu kenapa ya kira kira
24;Negatif;Udah 2hr ya ini masa iya blm bisa, sistem loh ini! Kecerobohan input NIK Vaksin, sangat merugikan pemilik NIK! @PLindungi;udah hr ya ini masa iya blm bisa sistem loh ini kecerobohan input nik vaksin sangat merugikan pemilik nik
25;Negatif;"Uda lari-lari trs pas mau naik, pintu keretanya ketutup gara2 scan apk PeduliLindungi dulu is another ""ANJIIIIING"" ð";uda larilari trs pas mau naik pintu keretanya ketutup gara scan apk pedulilindungi dulu is another anjiiiiing
